company_name,fiscal_year,revenue,cost_of_goods_sold,operating_expenses,wages_expense,tax_expense,depreciation,net_income,total_assets,current_assets,fixed_assets,total_liabilities,current_liabilities,long_term_liabilities,shareholders_equity,n_employees,n_blue_collar_workers,n_white_collar_workers
ASEA,1975,7863.0,,,,,,298.0,9291.333333333334,,,,,,1696.6666666666667,43604.0,25193.0,18411.0
ASEA,1976,8400.0,,7368.0,,178.5,347.0,156.0,12137.0,5467.333333333333,3225.0,5930.333333333333,2087.0,1347.0,1846.0,44194.0,,18936.0
ASEA,1977,9718.0,,8851.0,,119.0,393.0,185.0,13609.0,5574.0,3635.0,4952.0,2303.0,3251.0,1992.0,43233.0,,18853.0
ASEA,1978,9814.0,,9091.0,,98.0,297.0,191.0,15438.0,10799.0,4611.0,5740.0,3195.6666666666665,3580.0,2046.0,43071.0,24518.0,18553.0
ASEA,1979,11830.0,,11068.0,,,325.0,195.0,16267.0,11497.0,4755.0,14069.0,3400.0,3942.0,2198.0,43404.0,,
ASEA,1980,12557.0,,,,,362.0,161.0,17413.0,12563.0,4825.0,15149.0,5387.0,4097.0,2264.0,39605.0,,
ASEA,1981,19366.0,,18021.0,,,461.0,1333.0,24458.0,15684.0,7240.0,12594.5,7025.0,5246.0,2781.0,56107.0,,
ASEA,1982,25781.0,,23671.0,,160.0,587.0,279.0,29671.0,20905.0,8650.0,3051.3333333333335,8186.0,5893.0,3966.0,55882.0,,
ASEA,1983,30229.0,,27515.0,,232.0,663.0,468.0,32175.0,23234.0,8941.0,12946.0,8575.0,5964.0,4045.0,56660.0,,
ASEA,1984,36100.0,,,,313.0,726.0,370.0,37087.0,27383.0,9650.666666666666,12718.333333333334,9940.666666666666,6009.0,4244.0,58434.0,,
ASEA,1985,13426.466,,,,-361.0,,422.0,13838.700666666668,8.239,5.662,3.72,4.722,2.43,1384.4256666666668,60979.0,,
ASEA,1986,46031.0,,,,550.0,,689.0,47095.0,32628.0,14143.0,9112.0,16578.0,5472.0,5346.0,63124.0,,
ASEA,1987,52271.0,,,,830.0,,1045.0,59040.0,41382.0,17508.0,22650.0,21522.666666666668,6467.0,8555.0,72868.0,,
ASEA,1988,112372.0,103464.0,103464.0,,566.0,3272.0,1580.0,118803.66666666667,89699.0,31510.0,15812.5,56224.0,19831.0,12750.0,173918.0,,
ASEA,1989,135802.0,123598.0,123598.0,,,3678.0,2194.0,154733.0,103055.0,51678.0,108280.33333333333,20506.333333333332,18901.0,13926.0,184424.0,,
ASEA,1990,15445.0,,-13984.0,,-1314.0,,1928.0,14474.0,626.0,11948.0,3516.6666666666665,784.0,,9675.0,18066.0,,
ASEA,1991,588.3,-603.6,-603.6,,-1211.5,-9.0,1821.4,13190.5,422.9,12767.6,,354.6,423.4,12412.5,955.0,,
ASEA,1992,577.8666666666667,-603.6,-25.2,,-331.3333333333333,0.0,1490.0,10198.966666666667,270.8,9928.166666666666,281.5,4402.6,62.1,9916.766666666666,,,
ASEA,1993,,,,,-1474.8,,251.5,14778.6,89.5,14689.1,7455.35,34.55,4843.9,14709.5,,,
ASEA,1994,5375.3,,,,-718.5,,2923.3,15088.1,115.2,14972.9,37.13333333333333,7.8,42.3,15028.5,,,
ASEA,1995,2661.1,-20.5,,,-0.5,,2640.366666666667,9557.0,1709.0,8987.333333333334,85.65,7.6,48.6,10644.8,,,
